,station_id,lat,lng,address,trips_2010,trips_2011,trips_2012,trips_2013,trips_2014,trips_2015,trips_2016,trips_2017,trips_2018,trips_2019
335,31623,38.89696,-77.00493,Columbus Circle / Union Station,1554,32058,45692,58727,65507,70483,68350,70062,63493,58533
336,31624,38.897446,-77.009888,North Capitol St & F St NW,919,16852,26548,29643,27193,26193,28022,30370,26522,16173
337,31625,38.881184999999995,-77.001828,3rd & G St SE,0,329,9281,10370,10324,10383,9907,10830,11054,11478
338,31626,38.88732,-76.98356899999999,15th St & Massachusetts Ave SE,0,47,8976,9262,9379,8135,8066,8053,7391,8156
339,31627,38.905483833333335,-77.00212633333334,3rd & M St NE,0,0,0,10049,14149,17799,17946,21703,18731,22330
340,31628,38.87873783333333,-77.00588133333333,1st & K St SE,0,0,11473,14129,15009,15720,17056,20892,19255,14918
341,31629,38.889988,-76.995193,8th & East Capitol St NE,0,0,0,5956,10227,10351,10497,10033,7857,7682
342,31630,38.889908,-76.983326,15th & East Capitol St NE,0,0,0,4994,8283,8252,8147,7794,7035,6984
343,31631,38.89725916666666,-76.99474983333333,8th & F St NE,0,0,0,7528,12306,12215,10384,10426,9123,8318
344,31632,38.897195,-76.983575,15th & F St NE,0,0,0,3492,6390,7500,7778,8081,7140,6359
345,31633,38.887312,-77.025762,Independence Ave & L'Enfant Plaza SW/DOE,0,0,0,2537,7452,7464,8961,10915,9602,8449
346,31634,38.875009999999996,-77.0024,3rd & Tingey St SE,0,0,0,930,7383,11014,12226,15270,12952,8920
347,31635,38.876737,-76.99446800000001,Potomac Ave & 8th St SE,0,0,0,458,2407,3184,3555,4097,4087,4085
348,31636,38.907332000000004,-77.01536,New Jersey Ave & N St NW/Dunbar HS,0,0,0,675,8872,12252,11326,9982,9246,9725
349,31637,38.899703,-77.008911,North Capitol St & G Pl NE,0,0,0,114,8099,9743,10918,10689,9229,8044
350,31638,38.900358000000004,-77.012108,1st & H St NW,0,0,0,0,6894,10081,9726,11708,11827,9183
351,31639,38.899795833333336,-77.003451,2nd & G St NE,0,0,0,0,0,5702,13064,14337,12692,12704
352,31640,38.896134,-76.9929,Maryland Ave & E St NE,0,0,0,0,0,853,9324,11342,10127,9786
353,31641,38.89497083333333,-77.00314300000001,2nd St & Massachusetts Ave NE,0,0,0,0,0,0,11108,18326,17117,15283
354,31642,38.90236383333333,-77.01584183333334,4th St & K St NW,0,0,0,0,0,0,1368,4401,4519,6711
355,31643,38.884916,-77.005965,1st & D St SE,0,0,0,0,0,0,3204,13741,14043,13070
356,31644,38.88255816666667,-76.99013283333333,12th St & Pennsylvania Ave SE,0,0,0,0,0,0,47,4925,4906,4956
